Бренд;ID КАТ;Артикул;Название;Категория;Подкатегория;Цена;Старая цена;Тег;Фото;Описание
MALECULA;cat_1786698823066_6ri8_sub_Ботокс;;Ботокс-концентрат 42842 Malecula Lovely BTX, 500мл;Реконструкция;Ботокс;216.00 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Ботокс;;Маска 300 реконстр. Malecula Botox Make Up 45 Crx Reconstructive Mask, шаг 2, 1000мл;Реконструкция;Ботокс;246.00 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Ботокс;;Маска 608 реконстр. Malecula Botox Make Up 45 Crx Reconstructive Mask, шаг 2, 500мл;Реконструкция;Ботокс;168.00 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Ботокс;;Набор 750 для ботокс-восстановления волос Malecula Botox Make Up 45 White (шампунь+маска), 2*500мл;Реконструкция;Ботокс;179.90 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Интенсивное_выпрямление;;Маска 604 завершающая Malecula Express Ionic Post Straightening Mask step3, 500мл;Реконструкция;Интенсивное выпрямление;68.10 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Интенсивное_выпрямление;;Спрей 35766 шелковый кератиновый Malecula Express Ionic Silk Keratin Spray, 300 мл;Реконструкция;Интенсивное выпрямление;52.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Нанопластика;;Нанопластика 195 для волос Малекула Неопластия Амино, 300 мл;Реконструкция;Нанопластика;107.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Холодное_восстановление;;База 36473 1S+ восстанавл. аминокислотная Malecula Cortex Restoration System Amino Basic, 500мл;Реконструкция;Холодное восстановление;60.90 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Холодное_восстановление;;Маска 36474 2S+ обогащающая Malecula Cortex Restoration System Enrichment Mask, 500мл;Реконструкция;Холодное восстановление;49.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Холодное_восстановление;;Маска-активатор 39894 липидная Malecula Cortex First Aid, 150 мл;Реконструкция;Холодное восстановление;40.20 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Холодное_восстановление;;Мембрана 36475 S3+ несмываемая Malecula Cortex Restoration System Leave In Membrane, 500мл;Реконструкция;Холодное восстановление;71.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_6ri8_sub_Холодное_восстановление;;Спрей 588 термозащита 12 в 1 Малекула Кортекс Гидробарьер, 200 мл;Реконструкция;Холодное восстановление;33.50 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41732 для рук и тела La Parf Chromatica Lab Amber Moss, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41734 для рук и тела La Parf Chromatica Lab Cannabis, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41735 для рук и тела La Parf Chromatica Lab Forest Woody, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41736 для рук и тела La Parf Chromatica Lab H2O, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41738 для рук и тела La Parf Chromatica Lab Persea Verde, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1788100861364_s6kb_sub_Парфюмированная_линия;;Крем 41739 для рук и тела La Parf Chromatica Lab Silk, 250 мл;Уход;Парфюмированная линия;30.40 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
